Postcode,Latitude,Longitude
AB1 0SA,57.09756,-2.265717
AB1 0SB,57.096966,-2.266142
AB1 0SD,57.097963,-2.265951
AB1 0SE,57.102152,-2.268936
AB1 0SF,57.097834,-2.267452
AB1 0SG,57.096767,-2.266933
AB1 0SH,57.099305,-2.26469
AB1 0SJ,57.098578,-2.264388
AB1 0SL,57.098703,-2.264752
AB1 0SN,57.099397,-2.263436
AB1 0SP,57.099723,-2.262168
AB1 0SQ,57.100792,-2.26234
AB1 0SR,57.100586,-2.261992
AB1 0SS,57.100078,-2.259744
AB1 0ST,57.100246,-2.261363
AB1 0SU,57.097788,-2.26831
AB1 0SX,57.099978,-2.264596
AB1 0TA,57.100301,-2.264945
AB1 0TB,57.100326,-2.266133
AB1 0TD,57.100679,-2.264815
AB1 0TJ,57.101055,-2.265049
AB1 0TL,57.1009,-2.266286
AB1 0TN,57.100636,-2.268017
AB1 0TP,57.100914,-2.268102
AB1 0TQ,57.10156,-2.268486
AB1 0TR,57.101346,-2.267989
AB1 0TS,57.100287,-2.267239
AB1 0TT,57.099854,-2.268111
AB1 0TX,57.099235,-2.267875
AB1 0UA,57.09913,-2.270499
AB1 0UB,57.098082,-2.269138
AB1 0UD,57.096361,-2.267508
AB1 0UE,57.094242,-2.271008
AB1 0UJ,57.095967,-2.267043
AB1 0UL,57.096042,-2.269832
AB1 0UN,57.097309,-2.269545
AB1 0UP,57.097353,-2.269825
AB1 0UQ,57.096542,-2.271206
AB1 0UR,57.096001,-2.271796
AB1 0US,57.095306,-2.269447
AB1 0UT,57.097942,-2.271909
AB1 0UX,57.099544,-2.270469
AB1 0WA,57.096171,-2.276633
AB1 0WB,57.09595,-2.274684
AB1 0WD,57.095608,-2.275242
AB1 0WE,57.096812,-2.275037
AB1 0WF,57.09728,-2.274446
AB1 0WG,57.097503,-2.275471
AB1 0WH,57.097721,-2.274037
AB1 0WN,57.095997,-2.273644
AB1 0XA,57.100418,-2.273149
AB1 0XB,57.102756,-2.27617
AB1 0XD,57.10216,-2.277816
AB1 0XE,57.102278,-2.277009
AB1 0XJ,57.103875,-2.269774
AB1 0XL,57.102988,-2.268926
AB1 0XN,57.104168,-2.271229
AB1 0XP,57.103433,-2.270811
AB1 0XQ,57.104493,-2.274764
AB1 0XR,57.103864,-2.274874
AB1 0XU,57.102779,-2.277904
AB1 0YA,57.107727,-2.234935
AB1 0YB,57.107727,-2.234935
AB1 0YD,57.107727,-2.234935
AB1 0YE,57.107727,-2.234935
AB1 1AA,57.147644,-2.093854
AB1 1AB,57.148004,-2.092532
AB1 1AD,57.148274,-2.091872
AB1 1AE,57.148364,-2.091872
AB1 1AG,57.149619,-2.09533
AB1 1AH,57.149727,-2.094735
AB1 1AJ,57.148516,-2.092848
AB1 1AP,57.148981,-2.095675
AB1 1AQ,57.148181,-2.096169
AB1 1AR,57.148324,-2.097508
AB1 1AU,57.147777,-2.0963
AB1 1AW,57.14739,-2.097059
AB1 1AZ,57.149687,-2.100371
AB1 1BA,57.148934,-2.098369
AB1 1BB,57.147255,-2.097108
AB1 1BD,57.147453,-2.096481
AB1 1BE,57.145348,-2.100656
AB1 1BH,57.152105,-2.098394
AB1 1BJ,57.152312,-2.098493
AB1 1BL,57.14791,-2.098482
AB1 1BN,57.149077,-2.099972
AB1 1BP,57.149884,-2.100801
AB1 1BQ,57.15054,-2.101431
AB1 1BR,57.150818,-2.101547
AB1 1BS,57.150872,-2.102043
AB1 1BT,57.151554,-2.101929
AB1 1BU,57.151215,-2.099069
AB1 1BX,57.15168,-2.102376
AB1 1BY,57.150712,-2.098836
AB1 1BZ,57.150818,-2.101547
AB1 1DA,57.149796,-2.098487
AB1 1DB,57.149886,-2.099148
AB1 1DD,57.149372,-2.101014
AB1 1DE,57.150613,-2.100026
AB1 1DF,57.150855,-2.099746
AB1 1DG,57.152425,-2.102957
AB1 1DH,57.150819,-2.100886
AB1 1DJ,57.152219,-2.101634
AB1 1DL,57.15038,-2.099166
AB1 1DN,57.152758,-2.1018
AB1 1DP,57.153236,-2.099488
AB1 1DQ,57.152563,-2.098759
AB1 1DR,57.152563,-2.098759
AB1 1DS,57.152563,-2.098759
AB1 1DT,57.152796,-2.099073
AB1 1DU,57.152105,-2.098394
AB1 1DW,57.150138,-2.097794
AB1 1DX,57.151584,-2.098723
AB1 1DY,57.151827,-2.097699
AB1 1DZ,57.152471,-2.101833
AB1 1EA,57.151378,-2.097598
AB1 1EB,57.149671,-2.098106
AB1 1ED,57.151607,-2.103417
AB1 1EE,57.152594,-2.104643
AB1 1EF,57.152756,-2.104809
AB1 1EG,57.153754,-2.103159
AB1 1EH,57.151777,-2.103996
AB1 1EJ,57.151588,-2.104508
AB1 1EL,57.151903,-2.104327
AB1 1EN,57.151678,-2.104987
AB1 1EP,57.152074,-2.103964
AB1 1EQ,57.153088,-2.105256
AB1 1ER,57.153608,-2.10572
AB1 1ES,57.153743,-2.105935
AB1 1ET,57.153926,-2.101473
AB1 1EU,57.153366,-2.104943
AB1 1EW,57.153754,-2.103159
AB1 1EX,57.152784,-2.10347
AB1 1EY,57.152721,-2.103949
AB1 1EZ,57.153754,-2.103159
AB1 1FA,57.153377,-2.103042
AB1 1FB,57.153377,-2.103042
AB1 1FD,57.153377,-2.103042
AB1 1FE,57.153017,-2.103851
AB1 1FF,57.149618,-2.096999
AB1 1FG,57.149977,-2.09733
AB1 1FH,57.150337,-2.09667
AB1 1HA,57.153297,-2.101852
AB1 1HB,57.153297,-2.101967
AB1 1HD,57.153169,-2.104562
AB1 1HE,57.147326,-2.098513
AB1 1HF,57.146895,-2.098826
AB1 1HG,57.150016,-2.10414
AB1 1HH,57.146949,-2.098182
AB1 1HJ,57.152621,-2.10423
AB1 1HL,57.152092,-2.103633
AB1 1HN,57.151562,-2.103037
AB1 1HP,57.147047,-2.098843
AB1 1HQ,57.14782,-2.098977
AB1 1HR,57.153297,-2.101852
AB1 1HS,57.149166,-2.100468
AB1 1HT,57.149345,-2.101295
AB1 1HU,57.149794,-2.101776
AB1 1HW,57.147785,-2.098002
AB1 1HX,57.150386,-2.102191
AB1 1HY,57.150781,-2.102423
AB1 1HZ,57.148996,-2.100038
AB1 1JA,57.149982,-2.101975
AB1 1JB,57.148804,-2.104103
AB1 1JD,57.146165,-2.100989
AB1 1JE,57.146453,-2.100725
AB1 1JF,57.146777,-2.100412
AB1 1JG,57.146803,-2.100594
AB1 1JH,57.146965,-2.101256
AB1 1JJ,57.146364,-2.100229
AB1 1JL,57.146859,-2.098429
AB1 1JN,57.146983,-2.100215
AB1 1JP,57.147397,-2.100331
AB1 1JQ,57.14798,-2.100845
AB1 1JR,57.146506,-2.101271
AB1 1JS,57.147045,-2.101917
AB1 1JT,57.147746,-2.100878
AB1 1JU,57.148627,-2.101128
AB1 1JW,57.149802,-2.102486
AB1 1JX,57.148205,-2.09992
AB1 1JY,57.148102,-2.105341
AB1 1JZ,57.147577,-2.099572
AB1 1LB,57.148534,-2.104103
AB1 1LD,57.149081,-2.105575
AB1 1LE,57.150518,-2.105496
AB1 1LF,57.151047,-2.106589
AB1 1LG,57.152975,-2.110512
AB1 1LH,57.153003,-2.109586
AB1 1LL,57.15096,-2.103581
AB1 1LN,57.150961,-2.102936
AB1 1LP,57.150727,-2.103497
AB1 1LQ,57.150484,-2.103629
AB1 1LR,57.150116,-2.103181
AB1 1LS,57.149791,-2.105098
AB1 1LT,57.151004,-2.104357
AB1 1LU,57.151345,-2.105185
AB1 1LW,57.150887,-2.105134
AB1 1LX,57.151317,-2.106094
AB1 1LY,57.15174,-2.105599
AB1 1LZ,57.150771,-2.104406
AB1 1NA,57.151992,-2.104823
AB1 1NB,57.152252,-2.10532
AB1 1ND,57.152815,-2.108693
AB1 1NE,57.147607,-2.107124
AB1 1NG,57.148169,-2.110878
AB1 1NH,57.148619,-2.109887
AB1 1NJ,57.145939,-2.10312
AB1 1NL,57.146531,-2.104279
AB1 1NN,57.147186,-2.105322
AB1 1NP,57.147518,-2.105769
AB1 1NQ,57.14783,-2.107951
AB1 1NR,57.148198,-2.108977
AB1 1NS,57.148404,-2.109556
AB1 1NT,57.148369,-2.108647
AB1 1NU,57.148593,-2.109143
AB1 1NX,57.148934,-2.109872
AB1 1NY,57.148082,-2.108398
AB1 1PB,57.14817,-2.110216
AB1 1PD,57.148162,-2.108911
AB1 1PE,57.146649,-2.112707
AB1 1PF,57.147225,-2.112065
AB1 1PG,57.147397,-2.110512
AB1 1PJ,57.148621,-2.107904
AB1 1PL,57.149213,-2.109162
AB1 1PN,57.149052,-2.108616
